contest,district,party,name
councilperson,Adjuntas,PIP,Adalberto Lugo Boneta
councilperson,Adjuntas,PIP,Carmen Cotty Pabón
councilperson,Adjuntas,PIP,Elizabeth Massol Santana
councilperson,Adjuntas,PIP,Glori Ivette Ramírez Díaz
councilperson,Adjuntas,PIP,Jeniffer Arroyo López
councilperson,Adjuntas,PIP,Jorge A Aponte Carattini
councilperson,Adjuntas,PIP,Osvaldo Enrique Homs De Jesús
councilperson,Adjuntas,PIP,Rafael Pérez Núñez
councilperson,Adjuntas,PIP,Ángel Alexander Alvarado Malavé
councilperson,Adjuntas,PNP,Aida Mirta Rivera Irizarry
councilperson,Adjuntas,PNP,Arcelio González Vélez
councilperson,Adjuntas,PNP,Deborah Antongiorgi Santiago
councilperson,Adjuntas,PNP,Enrique Puig Colón
councilperson,Adjuntas,PNP,Félix Colón Mercado
councilperson,Adjuntas,PNP,Illis S. Rivera Rodríguez
councilperson,Adjuntas,PNP,Leonides Torré Avilés
councilperson,Adjuntas,PNP,Noralis Lamboy López
councilperson,Adjuntas,PNP,Oscar L. Orengo Torres
councilperson,Adjuntas,PPD,Axel Medina Caraballo
councilperson,Adjuntas,PPD,Elvin Gil Boneta Alcover
councilperson,Adjuntas,PPD,Elvis Omar Torres Alvarado
councilperson,Adjuntas,PPD,Evelyn Feliciano Marcucci
councilperson,Adjuntas,PPD,Guadalupe Rivera Oquendo
councilperson,Adjuntas,PPD,José A. González Vázquez
councilperson,Adjuntas,PPD,Luisa Linnette Rivera Albino
councilperson,Adjuntas,PPD,Rafael Antonio Munet Maldonado
councilperson,Adjuntas,PPD,Verónica Santiago Rodríguez
councilperson,Aguada,MVC,Carlos L García Varela
councilperson,Aguada,PIP,Alberto Vázquez Santiago
councilperson,Aguada,PIP,Carlos F. Silva Román
councilperson,Aguada,PIP,Carmen E. Quiñones Ruiz
councilperson,Aguada,PIP,Carmen María Echevarría Soto
councilperson,Aguada,PIP,Elba Quiñones Rosado
councilperson,Aguada,PIP,Evaristo Quiñones Ruiz
councilperson,Aguada,PIP,Héctor E. González Moret
councilperson,Aguada,PIP,Jorge Luis Agudo Santoni
