candidatos,firstname,middlename,surname,suffix,nickname
Adalberto Lugo Boneta,Adalberto,,Lugo Boneta,,
Carmen Cotty Pabón,Carmen,,Cotty Pabón,,
Elizabeth Massol Santana,Elizabeth,,Massol Santana,,
Glori Ivette Ramírez Díaz,Glori,Ivette,Ramírez Díaz,,
Jeniffer Arroyo López,Jeniffer,,Arroyo López,,
Jorge A Aponte Carattini,Jorge,,Aponte Carattini,,
Osvaldo Enrique Homs De Jesús,Osvaldo,Enrique,Homs De Jesús,,
Rafael Pérez Núñez,Rafael,,Pérez Núñez,,
Ángel Alexander Alvarado Malavé,Ángel,Alexander,Alvarado Malavé,,
Aida Mirta Rivera Irizarry,Aida,Mirta,Rivera Irizarry,,
Arcelio González Vélez,Arcelio,,González Vélez,,
Deborah Antongiorgi Santiago,Deborah,,Antongiorgi Santiago,,
Enrique Puig Colón,Enrique,,Puig Colón,,
Félix Colón Mercado,Félix,,Colón Mercado,,
Illis S. Rivera Rodríguez,Illis,S.,Rivera Rodríguez,,
Leonides Torré Avilés,Leonides,,Torré Avilés,,
Noralis Lamboy López,Noralis,,Lamboy López,,
Oscar L. Orengo Torres,Oscar,L.,Orengo Torres,,
Axel Medina Caraballo,Axel,,Medina Caraballo,,
Elvin Gil Boneta Alcover,Elvin,Gil,Boneta Alcover,,
Elvis Omar Torres Alvarado,Elvis,Omar,Torres Alvarado,,
Evelyn Feliciano Marcucci,Evelyn,,Feliciano Marcucci,,
Guadalupe Rivera Oquendo,Guadalupe,,Rivera Oquendo,,
José A. González Vázquez,José,A.,González Vázquez,,
Luisa Linnette Rivera Albino,Luisa,Linnette,Rivera Albino,,
Rafael Antonio Munet Maldonado,Rafael,Antonio,Munet Maldonado,,
Verónica Santiago Rodríguez,Verónica,,Santiago Rodríguez,,
Carlos L García Varela,Carlos,L.,García Varela,,
Alberto Vázquez Santiago,Alberto,,Vázquez Santiago,,
Carlos F. Silva Román,Carlos,F.,Silva Román,,
Carmen E. Quiñones Ruiz,Carmen,E.,Quiñones Ruiz,,
Carmen María Echevarría Soto,Carmen,María,Echevarría Soto,,
Elba Quiñones Rosado,Elba,,Quiñones Rosado,,
Evaristo Quiñones Ruiz,Evaristo,,Quiñones Ruiz,,
Héctor E. González Moret,Héctor,E.,González Moret,,
Jorge Luis Agudo Santoni,Jorge,Luis,Agudo Santoni,,
José Ramos García,José,,Ramos García,,
Olga Lydia Morales Carrero,Olga,Lydia,Morales Carrero,,
Pedro Julián González González,Pedro,Julián,González González,,
Roberto Cotto Cardona,Roberto,,Cotto Cardona,,
Sonia Muñoz Lorenzo,Sonia,,Muñoz Lorenzo,,
Carlos Javier Chaparro Galloza,Carlos,Javier,Chaparro Galloza,,
Carlos Traverso,Carlos,,Traverso,,
Carolina Beras Aulet,Carolina,,Beras Aulet,,
Gilbert Soto Montalvo,Gilbert,,Soto Montalvo,,
Henry Mendoza,Henry,,Mendoza,,
Héctor L Mendoza Cardona,Héctor,L.,Mendoza Cardona,,
Javier Chaparro Lorenzo,Javier,,Chaparro Lorenzo,,
Javier García Bonilla,Javier,,García Bonilla,,
Jorge Luis Mejías Agosto,Jorge,Luis,Mejías Agosto,,
Miriam Marcial Feliciano,Miriam,,Marcial Feliciano,,
Nelson López Villanueva,Nelson,,López Villanueva,,
Samuel Echevarría Chaparro,Samuel,,Echevarría Chaparro,,
Tania Anubis Montalvo,Tania,,Anubis Montalvo,,
Carlos Pito Román,Carlos,,Pito Román,,
Carmen Julia Matías Concepción,Carmen,Julia,Matías Concepción,,
César Mercado Cuevas,César,,Mercado Cuevas,,
Dario Medina Méndez,Dario,,Medina Méndez,,
Deborah Marie Soler Crespo,Deborah,Marie,Soler Crespo,,
Elsa Iris Vega Chaparro,Elsa,Iris,Vega Chaparro,,
Heri Antonio Soto López,Heri,Antonio,Soto López,,
Héctor Manuel Aponte Hernández,Héctor,Manuel,Aponte Hernández,,
Ilyenett Matías Vega,Ilyenett,,Matías Vega,,
Luis Ángel Acevedo Jiménez,Luis,Ángel,Acevedo Jiménez,,
Manuel E. Acevedo Rivera,Manuel,E.,Acevedo Rivera,,
Miguel A. Ruiz Acevedo,Miguel,A.,Ruiz Acevedo,,
Nilsa Cruz Varela,Nilsa,,Cruz Varela,,
Edwin J Cornier Colón,Edwin,J.,Cornier Colón,,
Ana Lydia Blas Rosado,Ana,Lydia,Blas Rosado,,
Ariel Morell Echevarría,Ariel,,Morell Echevarría,,
Barry Elbert Babilonia,Barry,,Elbert Babilonia,,
Deyhaneira Nieves Chaves,Deyhaneira,,Nieves Chaves,,
Diego Alejandro Marcial Águila,Diego,Alejandro,Marcial Águila,,
Elizabeth Águila Díaz,Elizabeth,,Águila Díaz,,
Héctor E. Águila García,Héctor,E.,Águila García,,
Héctor Manuel Rivera Viera,Héctor,Manuel,Rivera Viera,,
Lilia M. Otero Rodríguez,Lilia,M.,Otero Rodríguez,,
Luis Fernando Martínez Torres,Luis,Fernando,Martínez Torres,,
Michelle Adel Alers Méndez,Michelle,Adel,Alers Méndez,,
Miguel Estevan Nieves Chaves,Miguel,Estevan,Nieves Chaves,,
Osvaldo Nieves Vélez,Osvaldo,,Nieves Vélez,,
Alberto Luis Torres Torres,Alberto,Luis,Torres Torres,,
Aurea Meaux Rivera,Aurea,,Meaux Rivera,,
Damaris Salcedo Peña,Damaris,,Salcedo Peña,,
David Morales Feliciano,David,,Morales Feliciano,,
Davis González Pumarejo,Davis,,González Pumarejo,,
Ernesto Robledo Arce,Ernesto,,Robledo Arce,,
Héctor Rosa Ramírez,Héctor,,Rosa Ramírez,,
Lenitzia Lugo Sein,Lenitzia,,Lugo Sein,,
Luz Del C Roldán Sotomayor,Luz,Del C.,Roldán Sotomayor,,
Mery Mercy Ramos Arce,Mery,Mercy,Ramos Arce,,
Ramses (Chay) Martir Emmanuelli,Ramses,,Martir Emmanuelli,,Chay
Ángel Luis Rodríguez Rosa,Ángel,Luis,Rodríguez Rosa,,
Ángel Manuel Montero Pellot,Ángel,Manuel,Montero Pellot,,
Ana Chely Almeyda Álvarez,Ana,Chely,Almeyda Álvarez,,
Edwin Lemuel Orfila Soto,Edwin,Lemuel,Orfila Soto,,
Héctor Alberto Villanueva Ruiz,Héctor,Alberto,Villanueva Ruiz,,
Ivette D. Fantauzzi Feliú,Ivette,D.,Fantauzzi Feliú,,
Jorge Luis Pérez Salas,Jorge,Luis,Pérez Salas,,
Joselito Jiménez Rodríguez,Joselito,,Jiménez Rodríguez,,
Julissa Gerena Medina,Julissa,,Gerena Medina,,
Kenneth Sanabria Domenech,Kenneth,,Sanabria Domenech,,
Lisandra Badillo Sosa,Lisandra,,Badillo Sosa,,
Mayra M. Rosa Sifre,Mayra,M.,Rosa Sifre,,
Wilfred Yasel Torres Rosado,Wilfred,Yasel,Torres Rosado,,
Ángel Luis Nieves Vargas,Ángel,Luis,Nieves Vargas,,
Ángel Pérez (Mr. Pérez),Ángel,,Pérez,,Mr. Pérez
Antonio (Tony) Reyes Montañez,Antonio,,Reyes Montañez,,Tony
Emma L Nevárez Torres,Emma,L.,Nevárez Torres,,
Francisca Cardona Luque,Francisca,,Cardona Luque,,
Javier Belén Rivera,Javier,,Belén Rivera,,
Juan A García Camacho,Juan,A.,García Camacho,,
Linette López López,Linette,,López López,,
María Luisa Rivera Pérez,María,Luisa,Rivera Pérez,,
Rafael Ángel Cardona Carvajal,Rafael,Ángel,Cardona Carvajal,,
Sonia Luque Vázquez,Sonia,,Luque Vázquez,,
Víctor L López Reyes,Víctor,,López Reyes,,
Grecia Angeliz Perales Rosado,Grecia,Angeliz,Perales Rosado,,
Amanda M. Rosario Matos,Amanda,M.,Rosario Matos,,
Cindaly Cancel Negrón,Cindaly,,Cancel Negrón,,
