precinto,unidad,colegio,registrados
1,1,1,554
1,1,2,555
1,2,1,596
1,2,2,596
1,2,3,596
1,2,4,594
1,3,1,589
1,3,2,589
1,3,3,589
1,3,4,589
1,4,1,682
1,4,2,681
1,5,1,502
1,5,2,502
1,5,3,502
1,5,4,502
1,5,5,502
1,5,6,502
1,5,7,505
1,6,1,530
1,6,2,530
1,6,3,530
1,7,1,529
1,7,2,529
1,7,3,529
1,7,4,529
1,7,5,529
1,7,6,529
1,7,7,529
1,7,8,526
1,8,1,643
1,8,2,643
1,8,3,643
1,8,4,643
1,9,1,463
1,9,2,463
1,9,3,463
1,9,4,462
1,10,1,575
1,10,2,575
1,10,3,575
1,10,4,575
1,10,5,575
1,11,1,586
1,11,2,586
1,11,3,585
1,12,1,568
1,12,2,568
1,13,1,503
1,13,2,503
1,13,3,502
1,14,1,508
1,14,2,508
1,14,3,508
1,14,4,508
1,14,5,506
1,15,1,502
1,15,2,502
1,15,3,502
1,15,4,502
1,15,5,500
1,16,1,668
1,16,2,668
1,16,3,669
1,17,1,601
1,17,2,601
1,17,3,601
1,17,4,600
1,18,1,455
1,18,2,455
1,18,3,454
1,19,1,487
1,19,2,487
1,19,3,487
1,19,4,488
1,20,1,518
1,20,2,518
1,20,3,519
1,21,1,489
1,21,2,489
1,21,3,489
1,22,1,527
1,22,2,527
1,22,3,528
1,23,1,687
1,23,2,687
1,23,3,687
1,24,1,671
1,24,2,671
1,24,3,670
1,25,1,564
1,25,2,564
1,25,3,564
1,25,4,565
1,26,1,541
1,26,2,541
1,26,3,541
1,26,4,540
1,74,1,0
1,74,2,0
1,74,3,0
1,74,4,0
1,74,5,0
1,74,6,0
1,74,7,0
1,74,8,0
1,74,9,0
1,75,1,0
1,75,2,0
1,77,1,0
1,77,2,0
1,77,3,0
1,77,4,0
1,77,5,0
1,78,1,0
1,78,2,0
1,78,3,0
1,78,4,0
1,78,5,0
1,79,1,0
1,79,2,0
2,1,1,540
2,1,2,540
2,1,3,540
2,1,4,540
2,1,5,541
2,2,1,507
2,3,1,559
2,3,2,559
2,3,3,560
2,4,1,518
2,4,2,518
2,4,3,518
2,4,4,518
2,4,5,517
2,5,1,524
2,5,2,524
2,5,3,524
2,5,4,524
2,5,5,524
2,5,6,522
2,6,1,458
2,6,2,458
2,6,3,458
2,6,4,456
2,7,1,549
2,7,2,549
2,7,3,550
2,8,1,566
2,8,2,566
2,8,3,566
2,8,4,566
2,8,5,566
2,8,6,566
2,9,1,586
2,9,2,586
2,9,3,586
2,10,1,363
2,10,2,363
2,11,1,453
2,11,2,453
2,11,3,453
2,11,4,453
2,11,5,453
2,12,1,482
2,12,2,483
2,13,1,568
2,13,2,568
2,13,3,568
2,13,4,568
2,13,5,566
2,14,1,563
2,14,2,563
2,14,3,563
2,14,4,564
2,15,1,575
2,15,2,575
2,15,3,574
2,16,1,480
2,16,2,480
2,16,3,480
2,16,4,480
2,16,5,481
2,17,1,454
2,17,2,454
2,17,3,454
2,17,4,453
2,18,1,626
2,18,2,626
2,18,3,626
2,19,1,508
2,19,2,507
2,20,1,556
2,20,2,556
2,20,3,555
2,21,1,547
2,21,2,547
2,21,3,547
2,22,1,542
2,22,2,542
2,22,3,541
2,23,1,530
2,23,2,531
2,24,1,543
2,24,2,543
2,24,3,544
2,25,1,550
2,25,2,550
2,25,3,550
2,25,4,549
2,26,1,512
2,26,2,512
2,27,1,663
2,27,2,663
2,27,3,663
2,27,4,664
2,28,1,615
2,28,2,615
2,28,3,615
2,74,1,0
2,74,2,0
2,74,3,0
2,74,4,0
2,74,5,0
2,74,6,0
2,74,7,0
2,74,8,0
2,74,9,0
2,74,10,0
2,74,11,0
2,74,12,0
2,75,1,0
2,75,2,0
2,77,1,0
2,77,2,0
2,77,3,0
2,77,4,0
2,77,5,0
2,78,1,0
2,78,2,0
2,78,3,0
2,79,1,0
3,1,1,498
3,1,2,498
3,1,3,498
3,2,1,605
3,2,2,605
3,3,1,515
3,3,2,515
3,3,3,515
3,3,4,515
3,4,1,509
3,4,2,509
3,4,3,509
3,4,4,509
3,4,5,509
3,4,6,509
3,4,7,512
3,5,1,601
3,5,2,601
3,5,3,600
3,6,1,484
3,6,2,484
3,6,3,484
3,6,4,482
3,7,1,522
3,7,2,522
3,7,3,522
3,7,4,522
3,7,5,522
3,7,6,522
3,7,7,524
3,8,1,628
3,8,2,628
3,8,3,628
3,8,4,627
3,9,1,359
3,9,2,359
3,10,1,496
3,10,2,496
3,10,3,496
3,10,4,496
3,10,5,497
3,11,1,308
3,11,2,307
3,12,1,568
3,12,2,568
3,12,3,568
3,12,4,569
3,13,1,514
3,13,2,514
3,13,3,514
3,13,4,514
3,14,1,578
3,14,2,578
3,14,3,578
3,14,4,577
3,15,1,310
3,16,1,501
3,16,2,501
3,16,3,501
3,16,4,501
3,16,5,501
3,17,1,424
3,17,2,424
3,17,3,425
3,18,1,637
3,18,2,637
3,18,3,637
3,18,4,637
3,18,5,635
3,19,1,260
3,20,1,503
3,20,2,503
3,20,3,503
3,20,4,503
3,20,5,503
3,20,6,503
3,20,7,500
3,21,1,465
3,21,2,465
3,22,1,525
3,22,2,525
3,22,3,524
3,23,1,580
