"region","lon","lat"
"HUMACAO","-65.44178","18.14372"
"SAN JUAN","-66.06287","18.31255"
"BAYAMON","-66.21927","18.36274"
"CAGUAS","-66.01383","18.23615"
"ARECIBO","-66.74019","18.46253"
"PONCE","-66.60992","18.00463"
"SAN JUAN","-66.11357","18.46764"
"BAYAMON","-66.31734","18.34198"
"CAGUAS","-66.05327","17.98963"
"CAGUAS","-66.16153","17.95553"
"BAYAMON","-66.21538","18.3609"
"BAYAMON","-66.25288","18.43998"
"MAYAGUEZ","-67.11244","18.39537"
"PONCE","-66.72196","18.05218"
"PONCE","-66.354215","18.132715"
"HUMACAO",,
"ARECIBO","-66.40216","18.43408"
"BAYAMON","-66.21732","18.38543"
"PONCE","-66.90617","17.9726"
"CAGUAS","-66.11837","17.97802"
"MAYAGUEZ","-66.97788","18.33367"
"SAN JUAN","-65.96069","18.39549"
"CAGUAS","-66.14269","18.12282"
"MAYAGUEZ","-66.9333","18.38331"
"SAN JUAN","-66.04607","18.4331"
"BAYAMON","-66.39266","18.22596"
"MAYAGUEZ","-67.13728","18.28147"
"BAYAMON","-66.25677","18.36625"
"SAN JUAN","-66.12162","18.30477"
"MAYAGUEZ","-67.04707","17.97474"
"SAN JUAN","-66.04516","18.43826"
"SAN JUAN","-66.03302","18.34204"
"HUMACAO","-65.89685","18.00734"
"HUMACAO","-65.91815","18.22674"
"CAGUAS","-66.07612","18.28765"
"PONCE","-66.88103","18.06108"
"PONCE","-66.86901","18.05284"
"BAYAMON","-66.23427","18.42334"
"SAN JUAN","-65.95258","18.39996"
"CAGUAS","-66.03686","18.30274"
"ARECIBO","-66.84433","18.46785"
"BAYAMON","-66.18546","18.44145"
"SAN JUAN","-66.06276","18.37701"
"SAN JUAN","-66.05409","18.39313"
"MAYAGUEZ","-67.04179","18.07922"
"HUMACAO","-65.64811","18.30027"
"CAGUAS","-66.22832","17.97604"
"CAGUAS","-66.16219","18.17064"
"MAYAGUEZ","-67.14958","18.45022"
"PONCE","-66.84447","18.00504"
"HUMACAO","-65.82054","18.14917"
"SAN JUAN","-66.0888","18.38764"
"PONCE","-66.36765","17.9685"
"BAYAMON","-66.1648","18.31756"
"PONCE","-66.60161","18.00744"
"SAN JUAN","-66.0064","18.35289"
"BAYAMON","-66.44581","18.35816"
"MAYAGUEZ","-67.13447","18.34708"
"MAYAGUEZ","-66.95463","18.37019"
"PONCE","-66.76118","18.21682"
"BAYAMON","-66.15154","18.35291"
"SAN JUAN","-65.93054","18.36921"
"SAN JUAN","-66.00786","18.40331"
"ARECIBO","-66.38388","18.44348"
"PONCE","-66.60425","18.21765"
"PONCE","-66.60722","17.98069"
"ARECIBO","-66.69367","18.47902"
"PONCE","-66.59433","18.22162"
"ARECIBO","-66.80053","18.36489"
"MAYAGUEZ","-67.17037","18.36258"
"HUMACAO","-65.8382","18.38239"
"MAYAGUEZ","-67.04653","18.08325"
"BAYAMON","-66.20746","18.39905"
"SAN JUAN","-66.05438","18.4424"
"MAYAGUEZ","-67.09736","18.48642"
"MAYAGUEZ","-67.09781","18.48796"
"CAGUAS","-66.04754","18.28626"
"HUMACAO","-65.96228","18.19892"
"MAYAGUEZ","-67.03173","18.46913"
"MAYAGUEZ","-67.13959","18.28729"
"PONCE","-66.62685","18.01129"
"ARECIBO","-66.31669","18.41179"
"HUMACAO","-65.90364","18.37867"
"ARECIBO","-66.85406","18.45143"
"HUMACAO","-65.84329","18.13437"
"CAGUAS","-66.02826","18.23582"
"MAYAGUEZ","-67.11309","18.39219"
"CAGUAS","-66.04121","18.2148"
"SAN JUAN","-65.99524","18.40727"
"PONCE","-66.60231","18.29906"
"HUMACAO","-65.65245","18.33243"
"ARECIBO","-66.46613","18.435"
"ARECIBO","-66.2821","18.2558"
"ARECIBO","-66.33316","18.41254"
"MAYAGUEZ","-67.14525","18.37448"
"PONCE","-66.7921","18.01826"
"MAYAGUEZ","-67.18516","18.37596"
"PONCE","-66.86206","18.04173"
"PONCE","-66.8009","18.03217"
"PONCE","-66.63862","18.03692"
"MAYAGUEZ","-66.98146","18.30833"
"PONCE","-66.90477","17.97548"
"PONCE","-66.37267","18.1162"
"BAYAMON","-66.19175","18.38843"
"MAYAGUEZ","-66.99505","18.33826"
"HUMACAO","-65.82274","18.14894"
"BAYAMON","-66.44233","18.35501"
"MAYAGUEZ","-67.13727","18.44793"
"MAYAGUEZ","-67.01142","18.09406"
"BAYAMON","-66.17358","18.43839"
"HUMACAO","-65.88004","18.43235"
"SAN JUAN","-66.017058","18.412188"
"SAN JUAN","-66.054","18.41065"
"ARECIBO","-66.67123","18.4418"
"PONCE","-66.60828","18.01526"
"PONCE","-66.87579","18.03458"
"PONCE","-66.32418","18.07454"
"CAGUAS","-66.16856","18.10959"
"CAGUAS","-66.16773","18.11489"
"CAGUAS","-66.02191","18.23555"
"MAYAGUEZ","-67.15498","18.45848"
"PONCE","-66.36208","18.07975"
"CAGUAS","-66.16996","18.11429"
"BAYAMON","-66.21263","18.29585"
"PONCE","-66.62944167","18.14"
"PONCE","-66.71126","18.2755"
"BAYAMON","-66.16102","18.35867"
"HUMACAO","-65.65086","18.34936"
"SAN JUAN","-66.01285","18.40081"
"SAN JUAN","-66.0127","18.40229"
"SAN JUAN","-66.01225","18.4073"
"PONCE","-66.657","18.03739"
"SAN JUAN","-66.10322","18.33501"
"MAYAGUEZ","-66.95798","18.07807"
"SAN JUAN","-66.034","18.41264"
"CAGUAS","-66.26322","18.13971"
"HUMACAO","-65.81211","18.19844"
"BAYAMON","-66.16335","18.39123"
"MAYAGUEZ","-66.92717","18.22649"
"HUMACAO","-65.91629","17.99344"
"HUMACAO","-65.72141","18.37455"
"CAGUAS","-66.3386","18.2308"
"HUMACAO","-65.83008","18.10009"
"PONCE","-66.53377","18.00798"
"BAYAMON","-66.41281","18.30637"
"HUMACAO","-65.87777","18.43225"
"SAN JUAN","-65.95659","18.38561"
"BAYAMON","-66.16742","18.37668"
"PONCE","-66.73946","18.29473"
"ARECIBO","-66.71874","18.47243"
"HUMACAO","-65.91849","18.22454"
"BAYAMON","-66.17268","18.43399"
"PONCE","-66.50414","18.04626"
"HUMACAO","-65.86781","18.18365"
"MAYAGUEZ",,
"MAYAGUEZ","-67.13216","18.28701"
"CAGUAS","-66.13132","18.22399"
"HUMACAO","-65.7787","18.36912"
"MAYAGUEZ","-67.13452778","18.49775"
"SAN JUAN","-66.01135","18.3905"
"BAYAMON","-66.14161","18.39044"
"ARECIBO","-66.77591","18.45667"
"HUMACAO","-65.83097","18.14571"
"SAN JUAN","-66.05489","18.37131"
"PONCE","-66.65441","18.01495"
"HUMACAO","-65.85306","18.361"
"HUMACAO","-65.8542","18.36096"
"MAYAGUEZ","-67.15128","18.16856"
"CAGUAS","-66.02984","17.98387"
"HUMACAO","-66.01105","18.00546"
"PONCE","-66.87475","18.00076"
"HUMACAO","-65.88097","18.42633"
"SAN JUAN","-66.06979","18.44818"
"CAGUAS","-66.15637","18.11716"
"ARECIBO","-66.42994","18.43259"
"ARECIBO","-66.40578","18.43434"
"SAN JUAN","-66.08693","18.41049"
"MAYAGUEZ","-67.1562","18.36856"
"PONCE","-66.56588","18.0651"
"MAYAGUEZ","-67.07776","18.34165"
"CAGUAS","-66.05572","18.20853"
"MAYAGUEZ","-67.15063","18.17657"
"CAGUAS","-66.04161","18.17479"
"CAGUAS","-66.23603","18.21106"
"CAGUAS","-66.19183","18.16227"
"ARECIBO","-66.44577","18.42915"
"BAYAMON","-66.25257","18.29895"
"CAGUAS","-66.05384","18.21915"
"ARECIBO","-66.4774","18.30636"
"MAYAGUEZ","-67.25098","18.33903"
"PONCE","-66.8131","18.06286"
"CAGUAS","-66.10983","18.12626"
"MAYAGUEZ","-67.03143","18.2093"
"CAGUAS","-66.22818","17.9715"
"ARECIBO","-66.73596","18.46298"
"BAYAMON","-66.15804","18.37521"
"HUMACAO","-65.8944","18.0778"
"ARECIBO","-66.25971","18.396"
"ARECIBO","-66.5057","18.31551"
"HUMACAO",,
"MAYAGUEZ","-67.08917","18.17693"
"ARECIBO","-66.49761","18.44914"
"SAN JUAN","-65.93721","18.37334"
"MAYAGUEZ","-67.14307","18.18531"
"PONCE","-66.79254","18.02428"
"BAYAMON","-66.46182","18.23803"
"CAGUAS","-66.00712","18.28076"
"PONCE","-66.50581","18.10698"
"ARECIBO","-66.88233","18.29956"
"MAYAGUEZ","-67.14365","18.20206"
"BAYAMON","-66.18149","18.43506"
"HUMACAO","-65.76057","18.23301"
"CAGUAS","-66.04072","18.23283"
"BAYAMON","-66.17822","18.37352"
"ARECIBO","-66.7275","18.47102"
"CAGUAS","-66.06448","17.97405"
"ARECIBO","-66.87977","18.29666"
"PONCE","-66.72947","18.13412"
"HUMACAO","-65.87097","18.32032"
"PONCE","-66.726671","18.17278"
"BAYAMON","-66.22027","18.29276"
"MAYAGUEZ","-67.15506","18.42658"
"PONCE","-66.61915","17.98619"
"SAN JUAN","-66.07822","18.4073"
"MAYAGUEZ","-67.19133","18.3835"
"ARECIBO","-66.64628","18.42251"
"PONCE","-66.80358","18.29252"
"MAYAGUEZ","-67.11149","18.39137"
"BAYAMON","-66.16943","18.44162"
"SAN JUAN","-66.05612","18.44306"
"SAN JUAN","-66.07799","18.44513"
"ARECIBO","-66.72279","18.46249"
"ARECIBO","-66.56969","18.41666"
"MAYAGUEZ","-67.02635","18.4701"
"BAYAMON","-66.17501","18.38415"
"PONCE","-66.62006","18.01518"
"MAYAGUEZ","-66.97971","18.05665"
"SAN JUAN","-66.10116","18.4659"
"SAN JUAN","-65.99382","18.41606"
"CAGUAS","-66.26427","18.13952"
"BAYAMON","-66.15324","18.37319"
"BAYAMON","-66.35331","18.29035"
"CAGUAS","-66.05255","18.20382"
"SAN JUAN","-66.04791","18.44568"
"PONCE","-66.52824","18.02024"
"SAN JUAN","-65.96031","18.3984"
"ARECIBO","-66.93915","18.46849"
"CAGUAS","-66.10144","18.25266"
"HUMACAO","-65.88726","18.39341"
"PONCE","-66.53709","18.03067"
"PONCE","-66.66255","17.98219"
"BAYAMON","-66.18166","18.44928"
"MAYAGUEZ","-67.14605","18.20849"
"PONCE","-66.6276","18.00595"
"CAGUAS","-66.1176","17.97951"
"PONCE","-66.60934","18.01411"
"CAGUAS","-66.15779","18.11601"
"SAN JUAN","-65.97499","18.41662"
"HUMACAO","-65.64999","18.33322"
"BAYAMON","-66.17361","18.40239"
