papeleta,modo,votos,precinto,unidad,colegio
ESTATAL,EN BLANCO,0,1,1,1
ESTATAL,NULAS,0,1,1,1
ESTATAL,PAPELETAS POR CANDIDATURA,45,1,1,1
LEGISLATIVA,EN BLANCO,0,1,1,1
LEGISLATIVA,NULAS,0,1,1,1
LEGISLATIVA,PAPELETAS POR CANDIDATURA,39,1,1,1
MUNICIPAL,EN BLANCO,0,1,1,1
MUNICIPAL,NULAS,0,1,1,1
MUNICIPAL,PAPELETAS POR CANDIDATURA,18,1,1,1
PLEBISCITO,EN BLANCO,0,1,1,1
PLEBISCITO,NULAS,0,1,1,1
ESTATAL,EN BLANCO,0,1,1,2
ESTATAL,NULAS,0,1,1,2
ESTATAL,PAPELETAS POR CANDIDATURA,43,1,1,2
LEGISLATIVA,EN BLANCO,1,1,1,2
LEGISLATIVA,NULAS,0,1,1,2
LEGISLATIVA,PAPELETAS POR CANDIDATURA,40,1,1,2
MUNICIPAL,EN BLANCO,2,1,1,2
MUNICIPAL,NULAS,0,1,1,2
MUNICIPAL,PAPELETAS POR CANDIDATURA,28,1,1,2
PLEBISCITO,EN BLANCO,2,1,1,2
PLEBISCITO,NULAS,0,1,1,2
ESTATAL,EN BLANCO,0,1,2,1
ESTATAL,NULAS,0,1,2,1
ESTATAL,PAPELETAS POR CANDIDATURA,104,1,2,1
LEGISLATIVA,EN BLANCO,2,1,2,1
LEGISLATIVA,NULAS,0,1,2,1
LEGISLATIVA,PAPELETAS POR CANDIDATURA,99,1,2,1
MUNICIPAL,EN BLANCO,0,1,2,1
MUNICIPAL,NULAS,0,1,2,1
MUNICIPAL,PAPELETAS POR CANDIDATURA,58,1,2,1
PLEBISCITO,EN BLANCO,3,1,2,1
PLEBISCITO,NULAS,0,1,2,1
ESTATAL,EN BLANCO,0,1,2,2
ESTATAL,NULAS,0,1,2,2
ESTATAL,PAPELETAS POR CANDIDATURA,107,1,2,2
LEGISLATIVA,EN BLANCO,1,1,2,2
LEGISLATIVA,NULAS,0,1,2,2
LEGISLATIVA,PAPELETAS POR CANDIDATURA,119,1,2,2
MUNICIPAL,EN BLANCO,0,1,2,2
MUNICIPAL,NULAS,0,1,2,2
MUNICIPAL,PAPELETAS POR CANDIDATURA,58,1,2,2
PLEBISCITO,EN BLANCO,4,1,2,2
PLEBISCITO,NULAS,0,1,2,2
ESTATAL,EN BLANCO,2,1,2,3
ESTATAL,NULAS,0,1,2,3
ESTATAL,PAPELETAS POR CANDIDATURA,98,1,2,3
LEGISLATIVA,EN BLANCO,3,1,2,3
LEGISLATIVA,NULAS,0,1,2,3
LEGISLATIVA,PAPELETAS POR CANDIDATURA,117,1,2,3
MUNICIPAL,EN BLANCO,3,1,2,3
MUNICIPAL,NULAS,0,1,2,3
MUNICIPAL,PAPELETAS POR CANDIDATURA,92,1,2,3
PLEBISCITO,EN BLANCO,15,1,2,3
